N,S,R,mean_time,std_time
5,2,1,14009.724204639362,13984.311166251322
5,2,2,14127.995552210006,14975.706964593195
5,2,3,11397.39531491257,8547.350213733185
5,3,1,8787.715566977478,7092.227402491367
5,3,2,9090.489793828117,7092.014152779617
5,3,3,14489.065779740957,12107.815571274836
5,5,1,14245.479281011329,16517.022146134215
5,5,2,9140.098867903345,9923.50002031815
5,5,3,8889.450545191805,8068.987824678985
10,2,1,14597.082059222786,13849.362663590722
10,2,2,12837.320921680237,10155.84374317798
10,2,3,12569.819597860927,9920.06729096051
10,3,1,9807.73572586882,13278.92172825416
10,3,2,9425.501748973897,8286.892584263016
10,3,3,9711.37330008632,12761.025700772097
10,5,1,6861.455551620204,5473.512090733309
10,5,2,9837.814666765164,9277.669871154623
10,5,3,9306.250743919534,9544.609449078727
15,2,1,11011.064917573021,8670.890871828395
15,2,2,9657.916135849617,7680.061070877499
15,2,3,9141.366840757237,10546.02282357668
15,3,1,17179.73013375238,15295.547446684719
15,3,2,13476.593609641754,21810.80088647587
15,3,3,17650.405560760973,13555.155583840424
15,5,1,15894.425033510217,16912.806227671965
15,5,2,10144.558246028468,9140.818340690963
15,5,3,11110.79521276922,12658.044489128457
